"title","date","copies"
"Monnaie : Trésor de Fécamp, Richard Ier (942-996), denier, Rouen","900/1000","3197"
"Tessère : Tessère romaine de Lyon","Epoque romaine","2636"
"[Recueil. Catalogues d'éditeur]","2000","2182"
"Monnaie : Bronze, Suse, Élymaïde, Orodès II","620/294","2142"
"Monnaie : Bronze, Suse, Élymaïde, Orodès I","620/294","1453"
"Monnaie : Trésor de Fécamp, Charles Le Chauve (types immobilisés), denier, Le Mans","900/1000","1314"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, Ferdinand VI, 8 réaux, 1754, Lima","1754","925"
"Monnaie : Bronze, Suse, Élymaïde, Phraatès","620/294","893"
"Monnaie : Bronze, Suse, Élymaïde","620/294","864"
"Monnaie : Drachme, Argent, Suse, Élymaïde, Phraatès Iv","620/294","723"
"Monnaie : Bronze, Égypte, Alexandrie","620/294","710"
"Monnaie : tétradrachme, Ptolémée I Sôter, Alexandrie, Égypte","294/283","665"
"Monnaie : Bronze, Smyrne, Ionie","620/294","635"
"[Recueil. Catalogues de libraire]","2000","563"
"Monnaie : Bronze, Alexandrie, Égypte, Hadrien","620/294","524"
"Monnaie : Bronze, Alexandrie, Égypte, Antonin Le Pieux","620/294","518"
"Monnaie : Bronze, Olbia, Sarmatie","620/294","514"
"Monnaie : Tétradrachme, Argent, Athènes, Attique","620/294","504"
"Monnaie : Trésor de Fécamp, Charles Le Chauve (types immobilisés), denier, Quentovic","900/1000","487"
"Monnaie : France, Charles VI, florette","1380/1422","479"
"Monnaie : Bronze, Athènes, Attique","620/294","409"
"Monnaie : Statère, Argent, Égine, Attique, Égine","620/294","399"
"[Recueil. Journées de mai-juin 1968. Tracts]","1968","396"
"Monnaie : Bronze, Ionie, Smyrne","620/294","394"
"Monnaie : Statère, Argent, Corinthe, Corinthie","620/294","383"
"Questions sur diverses branches des sciences médicales","1839","375"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, Ferdinand VI, 8 réaux, 1753, Mexico","1753","369"
"Monnaie : Tétradrachme, Billon, Égypte, Alexandrie","620/294","367"
"Esquisse de décor non identifié","18","348"
"Monnaie : Bronze, Ionie, Érythrées","620/294","346"
"Monnaie : Bronze, Séleucide et Piérie, Antioche sur l'Oronte","620/294","344"
"Monnaie : Bronze, Érythrées, Ionie","620/294","344"
"Monnaie : Bronze, Hadrien, Égypte, Alexandrie","620/294","339"
"[Titre ?]","s.d.","334"
"Recueil",,"319"
"Glacier de Tré-la-Tête","1930","314"
"[Vignette, fumé pour l'illustration de : Rabelais, François, ""Oeuvres"", Tome 1] : [estampe]","1873","314"
"Monnaie : Bronze, Suse, Élymaïde, Mithridate II","620/294","310"
"Monnaie : tétradrachme, Ptolémée I Sôter, Salamine ?, Chypre","294/283","310"
"Questions sur diverses branches des sciences médicales","1838","307"
"Monnaie : Bronze, Attique, Athènes","620/294","307"
"Questions sur diverses branches des sciences médicales","1840","298"
"monnaie : Languedoc","1000/1700","287"
"Monnaie : Bronze, Suse, Élymaïde, Phraatès Iv","620/294","287"
"Monnaie : Bronze, Incertain, Artaban II","620/294","276"
"Monnaie : Bronze, Incertain","620/294","261"
"monnaie : Orléanais","1000/1700","259"
"monnaie : Migrations (Bronze)","400/700","258"
"Monnaie : Bronze, Antonin le Pieux, Égypte, Alexandrie","620/294","257"
"Questions sur diverses branches des sciences médicales","1841","255"
"Vue d'une photographie d'un nu masculin","1901-1950","254"
