"century","count"
"00xx","1"
"01xx","10"
"04xx","2"
"05xx","7"
"06xx","52"
"07xx","81"
"08xx","148"
"09xx","103"
"10xx","3577"
"11xx","2897"
"12xx","3035"
"13xx","5551"
"14xx","15989"
"15xx","103932"
"16xx","263980"
"17xx","550494"
"18xx","2009498"
"19xx","6770069"
"20xx","4560764"
"21xx","4"
"22xx","1"
"24xx","6"
"26xx","3"
"28xx","1"
"30xx","1"
"38xx","1"
"40xx","3"
"50xx","1"
"56xx","1"
"57xx","110"
"58xx","19"
"59xx","1"
"62xx","1"
"67xx","1"
"68xx","1"
"69xx","1"
"71xx","2"
"72xx","1"
"75xx","1"
"78xx","1"
"90xx","1"
"91xx","2"
"92xx","1"
"99xx","4"
