"lang","nb"
"http://id.loc.gov/vocabulary/iso639-2/fre","9183095"
"http://id.loc.gov/vocabulary/iso639-2/eng","2109185"
"http://id.loc.gov/vocabulary/iso639-2/ger","864026"
"http://id.loc.gov/vocabulary/iso639-2/ita","379339"
"http://id.loc.gov/vocabulary/iso639-2/zxx","365321"
"http://id.loc.gov/vocabulary/iso639-2/lat","336939"
"http://id.loc.gov/vocabulary/iso639-2/spa","304638"
"http://id.loc.gov/vocabulary/iso639-2/grc","129042"
"http://id.loc.gov/vocabulary/iso639-2/rus","87204"
"http://id.loc.gov/vocabulary/iso639-2/dut","74156"
"http://id.loc.gov/vocabulary/iso639-2/por","69803"
"http://id.loc.gov/vocabulary/iso639-2/chi","63942"
"http://id.loc.gov/vocabulary/iso639-2/pol","56931"
"http://id.loc.gov/vocabulary/iso639-2/ara","40014"
"http://id.loc.gov/vocabulary/iso639-2/jpn","29510"
"http://id.loc.gov/vocabulary/iso639-2/frm","27751"
"http://id.loc.gov/vocabulary/iso639-2/swe","26750"
"http://id.loc.gov/vocabulary/iso639-2/cze","21943"
"http://id.loc.gov/vocabulary/iso639-2/heb","20889"
"http://id.loc.gov/vocabulary/iso639-2/hun","18978"
