"decade","french","total"
"1800","286","949"
"1810","225","1355"
"1820","266","1072"
"1830","1052","1794"
"1840","3506","4595"
"1850","6911","8295"
"1860","13210","14728"
"1870","15810","17454"
"1880","24487","27053"
"1890","32123","34834"
"1900","40981","44707"
"1910","34188","38658"
"1920","37835","43605"
"1930","51082","59219"
"1940","36526","45246"
"1950","46500","61875"
"1960","43858","63175"
"1970","57660","87900"
"1980","84352","126560"
"1990","138705","208954"
"2000","235989","345163"
"2010","340795","443182"
"2020","56246","71517"
