"subjectLabel","date","count"
"France","2010","7569"
"France","2012","7146"
"France","2006","7135"
"France","1999","7044"
"France","2007","7022"
"France","2005","7002"
"France","2008","6991"
"France","1998","6960"
"France","2011","6950"
"France","1997","6843"
"France","2004","6823"
"France","2000","6818"
"France","2013","6777"
"France","2001","6730"
"France","1996","6674"
"France","2009","6540"
"France","2003","6522"
"France","2002","6471"
"France","1992","6422"
"France","2014","6397"
"France","2015","6299"
"France","1995","6275"
"France","2016","6035"
"France","1994","6014"
"France","1993","5955"
"France","2017","5869"
"France","2019","5707"
"France","2018","5620"
"France","2021","5564"
"France","1991","5240"
"France","1989","5194"
"France","2020","5045"
"Histoire","2007","5011"
"Histoire","2012","4982"
"France","1990","4973"
"Histoire","2008","4842"
"Histoire","2010","4822"
"Histoire","2011","4810"
"20e siècle","2000","4753"
"Histoire","2013","4741"
"Histoire","2009","4733"
"Histoire","2006","4689"
"France","2024","4646"
"Histoire","2005","4618"
"Histoire","2004","4581"
"2000-....","2021","4575"
"1990-2020","2013","4529"
"Histoire","2014","4456"
"20e siècle","1999","4416"
"France","1988","4366"
"2000-....","2024","4365"
"Histoire","2016","4353"
"Actes de congrès","2007","4345"
"Histoire","2003","4326"
"1990-2020","2012","4305"
"Histoire","2015","4289"
"Histoire","2017","4258"
"Actes de congrès","2006","4253"
"1990-2020","2014","4214"
"Actes de congrès","2008","4196"
"Histoire","2002","4113"
"1990-2020","2015","4085"
"Actes de congrès","2005","4079"
"Histoire","2000","4070"
"Actes de congrès","2004","4038"
"Histoire","1999","4030"
"1990-2020","2006","4025"
"Histoire","2018","4009"
"20e siècle","1998","3993"
"1990-2020","2017","3992"
"Actes de congrès","2009","3977"
"20e siècle","1996","3972"
"Histoire","1997","3960"
"1990-2020","2018","3959"
"Histoire","1998","3956"
"1990-2020","2019","3935"
"20e siècle","1994","3900"
"Actes de congrès","2011","3865"
"Actes de congrès","2003","3858"
"20e siècle","1993","3853"
"Histoire","2001","3846"
"1990-2020","2011","3836"
"Histoire","1996","3834"
"Actes de congrès","1999","3834"
"Histoire","2019","3831"
"1990-2020","2016","3809"
"1990-2020","2005","3785"
"France","1987","3765"
"France","1986","3758"
"Actes de congrès","2010","3753"
"1990-2020","2007","3743"
"20e siècle","1997","3718"
"20e siècle","2001","3695"
"Actes de congrès","2002","3689"
"Actes de congrès","2001","3648"
"1990-2020","2010","3645"
"Actes de congrès","2000","3645"
"Histoire","1992","3638"
"Histoire","2021","3638"
"Actes de congrès","2012","3620"
"Histoire","1994","3594"
"France","1985","3567"
"France","1933","3557"
"20e siècle","1992","3545"
"Histoire","1991","3540"
"1990-2020","2008","3538"
"Actes de congrès","2013","3536"
"Actes de congrès","1998","3516"
"20e siècle","1995","3514"
"Histoire","1990","3494"
"Histoire","1995","3433"
"20e siècle","1991","3404"
"Actes de congrès","1992","3384"
"France","1983","3381"
"Histoire","2020","3374"
"Actes de congrès","1997","3368"
"Actes de congrès","1991","3353"
"1990-2020","2009","3344"
"France","1984","3342"
"Histoire","1993","3327"
"Paris (France)","1933","3263"
"Actes de congrès","1990","3249"
"Portraits","1932","3247"
"Actes de congrès","2014","3241"
"Actes de congrès","1993","3223"
"France","1982","3170"
"Histoire","1989","3163"
"Actes de congrès","1996","3132"
"Critique et interprétation","2012","3126"
"Actes de congrès","1994","3113"
"Portraits","1927","3109"
"Actes de congrès","1995","3086"
"2000-....","2020","3059"
"20e siècle","2006","3035"
"Actes de congrès","2015","3034"
"Critique et interprétation","2013","3029"
"Critique et interprétation","2011","3007"
"France","1980","3007"
"Critique et interprétation","2009","2992"
"Portraits","1910","2985"
"Actes de congrès","2016","2967"
"Critique et interprétation","2010","2928"
"20e siècle","2008","2917"
"20e siècle","1990","2903"
"20e siècle","2003","2894"
"Portraits","1900","2885"
"1990-2020","2004","2882"
"20e siècle","2005","2872"
"Critique et interprétation","2014","2853"
"Critique et interprétation","2008","2842"
"Critique et interprétation","2007","2815"
"Histoire","1988","2799"
"Actes de congrès","2017","2791"
"Actes de congrès","2018","2790"
"19e siècle","1879","2748"
"Actes de congrès","1989","2744"
"20e siècle","2007","2743"
"2000-....","2017","2739"
"Histoire","2024","2724"
"19e siècle","1888","2723"
"20e siècle","2002","2719"
"Critique et interprétation","2006","2715"
"19e siècle","1880","2707"
"19e siècle","1889","2699"
"Ouvrages avant 1800","1990","2684"
"20e siècle","1907","2678"
"20e siècle","2004","2669"
"Critique et interprétation","2005","2667"
"Critique et interprétation","2016","2653"
"Catalogues d'exposition","2005","2647"
"Critique et interprétation","2018","2645"
"Critique et interprétation","2017","2640"
"Critique et interprétation","2015","2639"
"2000-....","2018","2639"
"Catalogues d'exposition","2007","2635"
"Critique et interprétation","2004","2625"
"France","1981","2607"
"20e siècle","2010","2602"
"Catalogues d'exposition","2006","2593"
"Critique et interprétation","2003","2592"
"Histoire","1987","2590"
"19e siècle","1883","2583"
"19e siècle","1881","2557"
"2000-....","2019","2548"
"Portraits","1926","2539"
"Critique et interprétation","2002","2537"
"Critique et interprétation","2000","2536"
"1990-2020","2020","2534"
"19e siècle","1886","2532"
"Actes de congrès","2019","2532"
"Portraits","1928","2528"
"Critique et interprétation","2019","2523"
"Catalogues d'exposition","2008","2519"
"Portraits","1924","2512"
"19e siècle","1894","2500"
"Guerre mondiale (1914-1918)","1915","2499"
"19e siècle","1893","2495"
"19e siècle","1877","2489"
"Guides pratiques","1999","2483"
"20e siècle","2011","2480"
