"authorLabel","workCount"
,"1547"
"Johann Sebastian Bach","1197"
"Franz Schubert","1156"
"Jacques-Philippe Le Bas","988"
"Wolfgang Amadeus Mozart","957"
"Joseph Haydn","938"
"Antonio Vivaldi","908"
"Franz Liszt","853"
"Roland de Lassus","846"
"Georg Philipp Telemann","834"
"Gilles-Louis Chrétien","810"
"Anne Claude Philippe de Caylus","722"
"Michel Butor","699"
"Ludwig van Beethoven","681"
"Domenico Scarlatti","655"
"Alessandro Scarlatti","647"
"Pierre-Philippe Choffard","643"
"Marc Antoine Charpentier","640"
"Gilles Demarteau","630"
"Jean B. Dambrun","623"
"Étienne Jahandier Desrochers","620"
"Jean-François Janinet","617"
"Emmanuel Jean Népomucène De Ghendt","590"
"Johannes Brahms","582"
"Georg Friedrich Händel","581"
"Jean Duplessi-Bertaux","580"
"Camille Saint-Saëns","552"
"Robert Schumann","550"
"Carl Philipp Emanuel Bach","538"
"Felix Mendelssohn Bartholdy","534"
"Jacques-Louis Battmann","498"
"Henry Purcell","484"
"A. B. Duhamel","483"
"Jean-Charles Baquoy","462"
"Dominique-Vivant Denon","461"
"Charles-Étienne Gaucher","460"
"Étienne Fessard","457"
"Émilie Beaumont","452"
"Louis Legrand","450"
"Charles-Nicolas Cochin","439"
