"genre","year","count"
"Chansons françaises","1800","3"
"Littérature","1801","1"
"Chansons françaises","1803","3"
"Chansons françaises","1804","1"
"Chansons françaises","1805","1"
"Poésie","1806","1"
"Chansons françaises","1806","1"
"Littérature","1806","2"
"Poésie","1807","1"
"Littérature française","1807","1"
"Chansons françaises","1807","3"
"Chansons françaises","1808","2"
"Théâtre","1810","1"
"Chansons françaises","1810","2"
"Chansons françaises","1811","6"
"Littérature","1812","1"
"Chansons françaises","1812","9"
"Littérature française","1812","1"
"Poésie","1813","1"
"Chansons françaises","1813","4"
"Littérature","1813","1"
"Chansons françaises","1814","3"
"Poésie","1815","1"
"Chansons françaises","1815","1"
"Littérature","1815","1"
"Chansons françaises","1816","6"
"Poésie","1817","2"
"Littérature","1817","1"
"Littérature","1818","1"
"Chansons françaises","1818","7"
"Littérature française","1818","2"
"Chansons françaises","1819","3"
"Roman","1820","1"
"Littérature française","1820","1"
"Chansons françaises","1820","6"
"Littérature","1821","2"
"Chansons françaises","1821","6"
"Chansons françaises","1822","2"
"Poésie","1823","1"
"Chansons françaises","1823","8"
"Chansons françaises","1824","1"
"Chansons françaises","1825","10"
"Littérature","1825","1"
"Chansons françaises","1826","2"
"Littérature","1826","1"
"Poésie","1826","1"
"Chansons françaises","1827","6"
"Poésie","1828","1"
"Chansons françaises","1828","8"
"Roman","1828","1"
"Chansons françaises","1829","17"
"Poésie","1829","1"
"Littérature","1829","4"
"Théâtre","1829","1"
"Littérature française","1830","1"
"Chansons françaises","1830","15"
"Poésie","1830","3"
"Théâtre","1830","9"
"Littérature","1831","1"
"Poésie","1831","3"
"Chansons françaises","1831","2"
"Chansons françaises","1832","2"
"Théâtre","1832","1"
"Roman","1832","1"
"Roman","1833","1"
"Chansons françaises","1833","7"
"Littérature","1834","1"
"Chansons françaises","1834","6"
"Poésie","1834","1"
"Littérature française","1834","1"
"Théâtre","1835","2"
"Chansons françaises","1835","5"
"Poésie","1835","2"
"Littérature","1836","1"
"Poésie","1836","2"
"Chansons françaises","1836","3"
"Chansons françaises","1837","13"
"Théâtre","1837","1"
"Chansons françaises","1838","16"
"Littérature française","1838","1"
"Chansons françaises","1839","36"
"Roman","1839","1"
"Littérature","1839","1"
"Poésie","1839","2"
"Poésie","1840","1"
"Chansons françaises","1840","44"
"Théâtre","1841","2"
"Littérature française","1841","2"
"Chansons françaises","1841","44"
"Chansons françaises","1842","64"
"Poésie","1842","2"
"Roman","1843","1"
"Littérature française","1843","1"
"Poésie","1843","1"
"Chansons françaises","1843","48"
"Chansons françaises","1844","72"
"Littérature","1844","1"
"Poésie","1844","1"
"Roman","1845","1"
"Chansons françaises","1845","31"
"Littérature française","1845","2"
"Littérature","1846","2"
"Chansons françaises","1846","32"
"Poésie","1846","1"
"Littérature","1847","2"
"Chansons françaises","1847","8"
"Poésie","1848","1"
"Roman","1848","2"
"Théâtre","1848","2"
"Chansons françaises","1848","14"
"Littérature","1848","2"
"Poésie","1849","1"
"Chansons françaises","1849","42"
"Théâtre","1850","2"
"Littérature française","1850","2"
"Littérature","1850","2"
"Chansons françaises","1850","74"
"Littérature française","1851","1"
"Chansons françaises","1851","57"
"Littérature","1851","1"
"Poésie","1851","5"
"Chansons françaises","1852","111"
"Roman","1852","1"
"Poésie","1852","2"
"Littérature","1853","1"
"Théâtre","1853","2"
"Chansons françaises","1853","93"
"Littérature française","1853","2"
"Poésie","1853","1"
"Littérature","1854","1"
"Chansons françaises","1854","139"
"Poésie","1854","2"
"Littérature française","1854","1"
"Théâtre","1855","1"
"Littérature française","1855","1"
"Littérature","1855","1"
"Chansons françaises","1855","157"
"Poésie","1855","2"
"Chansons françaises","1856","229"
"Littérature française","1856","3"
"Littérature","1856","2"
"Roman","1857","1"
"Théâtre","1857","1"
"Littérature française","1857","2"
"Chansons françaises","1857","220"
"Chansons françaises","1858","257"
"Littérature","1858","1"
"Poésie","1858","3"
"Théâtre","1858","1"
"Littérature française","1858","3"
"Théâtre","1859","1"
"Littérature française","1859","2"
"Chansons françaises","1859","269"
"Roman","1860","1"
"Poésie","1860","1"
"Théâtre","1860","2"
"Littérature française","1860","2"
"Chansons françaises","1860","476"
"Poésie","1861","1"
"Littérature française","1861","1"
"Chansons françaises","1861","298"
"Littérature","1861","1"
"Chansons françaises","1862","294"
"Littérature française","1862","1"
"Roman","1862","1"
"Poésie","1863","1"
"Chansons françaises","1863","337"
"Littérature française","1863","2"
"Roman","1863","2"
"Chansons françaises","1864","365"
"Poésie","1864","2"
"Littérature française","1864","1"
"Roman","1865","3"
"Chansons françaises","1865","421"
"Littérature","1865","1"
"Littérature française","1865","3"
"Littérature française","1866","1"
"Chansons françaises","1866","409"
"Roman","1866","1"
"Chansons françaises","1867","280"
"Littérature","1867","1"
"Théâtre","1867","1"
"Roman","1867","1"
"Littérature française","1867","3"
"Poésie","1867","2"
"Chansons françaises","1868","345"
"Théâtre","1868","1"
"Poésie","1868","1"
"Chansons françaises","1869","428"
"Poésie","1869","1"
"Roman","1869","3"
"Littérature française","1869","1"
"Littérature française","1870","1"
"Roman","1870","1"
"Chansons françaises","1870","326"
"Théâtre","1871","2"
"Chansons françaises","1871","183"
"Poésie","1871","1"
"Littérature française","1871","1"
"Littérature française","1872","1"
"Chansons françaises","1872","448"
"Théâtre","1872","2"
"Roman","1872","1"
"Littérature","1873","1"
"Littérature française","1873","2"
"Chansons françaises","1873","334"
"Roman","1873","1"
"Poésie","1874","1"
"Littérature française","1874","1"
"Chansons françaises","1874","721"
"Poésie","1875","8"
"Théâtre","1875","1"
"Chansons françaises","1875","664"
"Littérature française","1875","2"
"Roman","1875","1"
"Littérature","1876","1"
"Chansons françaises","1876","627"
"Poésie","1876","3"
"Poésie","1877","4"
"Théâtre","1877","2"
"Chansons françaises","1877","789"
"Roman","1877","1"
"Littérature","1877","1"
"Roman","1878","1"
"Chansons françaises","1878","848"
"Théâtre","1878","1"
"Poésie","1878","3"
"Littérature française","1878","1"
"Chansons françaises","1879","980"
"Poésie","1879","4"
"Roman","1879","3"
"Littérature française","1880","1"
"Chansons françaises","1880","897"
"Théâtre","1880","2"
"Poésie","1880","1"
"Chansons françaises","1881","854"
"Poésie","1881","4"
"Théâtre","1881","1"
"Roman","1881","5"
"Littérature française","1881","1"
"Littérature française","1882","2"
"Chansons françaises","1882","729"
"Roman","1882","4"
"Théâtre","1882","1"
"Poésie","1882","1"
"Littérature française","1883","1"
"Poésie","1883","1"
"Chansons françaises","1883","679"
"Théâtre","1883","2"
"Roman","1883","3"
"Littérature","1883","1"
"Poésie","1884","2"
"Littérature française","1884","2"
"Roman","1884","5"
"Chansons françaises","1884","584"
"Poésie","1885","2"
"Littérature française","1885","2"
"Théâtre","1885","1"
"Littérature","1885","1"
"Chansons françaises","1885","638"
"Roman","1885","3"
"Roman","1886","3"
"Théâtre","1886","2"
"Chansons françaises","1886","624"
"Poésie","1886","1"
"Roman","1887","4"
"Littérature française","1887","1"
"Chansons françaises","1887","594"
"Poésie","1887","2"
"Théâtre","1887","3"
"Littérature française","1888","1"
"Théâtre","1888","1"
"Poésie","1888","3"
"Chansons françaises","1888","709"
"Roman","1888","3"
"Chansons françaises","1889","672"
"Poésie","1889","1"
"Littérature","1889","1"
"Roman","1889","3"
"Littérature française","1889","1"
"Roman","1890","1"
"Littérature française","1890","1"
"Théâtre","1890","1"
"Chansons françaises","1890","522"
"Littérature","1890","2"
"Littérature","1891","1"
"Théâtre","1891","1"
"Littérature française","1891","1"
"Poésie","1891","2"
"Chansons françaises","1891","409"
"Roman","1892","4"
"Littérature française","1892","1"
"Poésie","1892","1"
"Littérature","1892","1"
"Chansons françaises","1892","471"
"Roman","1893","2"
"Littérature","1893","1"
"Poésie","1893","3"
"Théâtre","1893","3"
"Chansons françaises","1893","582"
"Littérature française","1893","1"
"Théâtre","1894","1"
"Littérature française","1894","1"
"Poésie","1894","1"
"Chansons françaises","1894","565"
"Roman","1894","2"
"Roman","1895","3"
"Poésie","1895","3"
"Littérature française","1895","4"
"Littérature","1895","2"
"Chansons françaises","1895","617"
"Théâtre","1895","2"
"Chansons françaises","1896","457"
"Littérature française","1896","1"
"Roman","1896","2"
"Roman","1897","2"
"Théâtre","1897","1"
"Chansons françaises","1897","467"
"Poésie","1897","4"
"Littérature française","1898","1"
"Roman","1898","1"
"Chansons françaises","1898","427"
"Littérature","1898","2"
"Théâtre","1898","3"
"Poésie","1898","2"
"Théâtre","1899","1"
"Chansons françaises","1899","383"
"Poésie","1899","1"
"Littérature française","1899","1"
"Roman","1899","2"
"Roman","1900","2"
"Poésie","1900","1"
"Chansons françaises","1900","338"
"Littérature française","1900","1"
"Littérature française","1901","2"
"Théâtre","1901","2"
"Roman","1901","1"
"Chansons françaises","1901","388"
"Chansons françaises","1902","526"
"Littérature française","1902","2"
"Roman","1902","2"
"Théâtre","1902","7"
"Poésie","1902","2"
"Poésie","1903","1"
"Théâtre","1903","2"
"Roman","1903","6"
"Chansons françaises","1903","438"
"Chansons françaises","1904","485"
"Littérature","1904","1"
"Théâtre","1904","1"
"Poésie","1904","3"
"Roman","1904","1"
"Théâtre","1905","6"
"Chansons françaises","1905","454"
"Roman","1905","4"
"Littérature française","1905","1"
"Littérature","1905","1"
"Littérature française","1906","2"
"Littérature","1906","1"
"Théâtre","1906","5"
"Chansons françaises","1906","427"
"Littérature","1907","1"
"Chansons françaises","1907","488"
"Roman","1907","1"
"Théâtre","1907","3"
"Littérature française","1907","3"
"Roman","1908","2"
"Théâtre","1908","6"
"Poésie","1908","1"
"Chansons françaises","1908","447"
"Littérature française","1908","1"
"Poésie","1909","2"
"Théâtre","1909","4"
"Littérature française","1909","2"
"Littérature","1909","2"
"Roman","1909","4"
"Chansons françaises","1909","497"
"Poésie","1910","1"
"Chansons françaises","1910","383"
"Théâtre","1910","2"
"Roman","1910","1"
"Roman","1911","6"
"Poésie","1911","1"
"Théâtre","1911","2"
"Chansons françaises","1911","328"
"Littérature française","1912","1"
"Chansons françaises","1912","294"
"Théâtre","1912","7"
"Roman","1912","3"
"Roman","1913","5"
"Chansons françaises","1913","291"
"Théâtre","1913","11"
"Poésie","1913","2"
"Chansons françaises","1914","221"
"Littérature française","1914","4"
"Théâtre","1914","2"
"Roman","1914","1"
"Littérature","1914","10"
"Poésie","1914","2"
"Poésie","1915","11"
"Roman","1915","3"
"Littérature","1915","1"
"Chansons françaises","1915","241"
"Roman","1916","6"
"Poésie","1916","16"
"Chansons françaises","1916","140"
"Littérature","1916","1"
"Littérature française","1916","1"
"Théâtre","1917","1"
"Chansons françaises","1917","86"
"Roman","1917","51"
"Poésie","1917","8"
"Chansons françaises","1918","96"
"Poésie","1918","5"
"Roman","1918","45"
"Roman","1919","1"
"Chansons françaises","1919","211"
"Littérature française","1919","1"
"Poésie","1919","8"
"Roman","1920","2"
"Chansons françaises","1920","111"
"Littérature française","1920","1"
"Littérature","1920","2"
"Poésie","1921","6"
"Roman","1921","1"
"Chansons françaises","1921","73"
"Littérature française","1921","4"
"Littérature","1921","1"
"Théâtre","1922","5"
"Littérature française","1922","1"
"Chansons françaises","1922","86"
"Roman","1922","6"
"Roman","1923","5"
"Littérature française","1923","2"
"Poésie","1923","3"
"Chansons françaises","1923","99"
"Théâtre","1923","3"
"Roman","1924","8"
"Chansons françaises","1924","94"
"Poésie","1924","2"
"Théâtre","1924","2"
"Littérature","1924","1"
"Roman","1925","9"
"Chansons françaises","1925","113"
"Poésie","1925","2"
"Théâtre","1925","4"
"Littérature française","1925","3"
"Roman","1926","11"
"Littérature française","1926","1"
"Chansons françaises","1926","169"
"Théâtre","1926","3"
"Poésie","1926","1"
"Roman","1927","8"
"Chansons françaises","1927","139"
"Poésie","1927","1"
"Théâtre","1927","1"
"Littérature française","1927","2"
"Poésie","1928","2"
"Théâtre","1928","5"
"Roman","1928","11"
"Littérature française","1928","1"
"Chansons françaises","1928","158"
"Littérature","1928","1"
"Roman","1929","9"
"Littérature","1929","1"
"Littérature française","1929","3"
"Chansons françaises","1929","113"
"Théâtre","1929","5"
"Théâtre","1930","4"
"Littérature française","1930","3"
"Littérature","1930","1"
"Chansons françaises","1930","268"
"Roman","1930","20"
"Théâtre","1931","8"
"Chansons françaises","1931","208"
"Roman","1931","16"
"Poésie","1931","1"
"Littérature française","1931","1"
"Littérature","1932","2"
"Poésie","1932","3"
"Roman","1932","18"
"Théâtre","1932","3"
"Chansons françaises","1932","209"
"Théâtre","1933","29"
"Chansons françaises","1933","201"
"Roman","1933","14"
"Littérature française","1933","2"
"Chansons françaises","1934","407"
"Théâtre","1934","4"
"Roman","1934","16"
"Littérature","1934","1"
"Poésie","1934","3"
"Roman","1935","13"
"Poésie","1935","3"
"Chansons françaises","1935","466"
"Théâtre","1935","1"
"Poésie","1936","5"
"Chansons françaises","1936","258"
"Littérature française","1936","2"
"Roman","1936","13"
"Théâtre","1936","1"
"Littérature française","1937","4"
"Chansons françaises","1937","144"
"Roman","1937","8"
"Littérature","1937","1"
"Théâtre","1937","2"
"Poésie","1937","2"
"Chansons françaises","1938","106"
"Littérature française","1938","1"
"Roman","1938","11"
"Poésie","1938","2"
"Chansons françaises","1939","82"
"Roman","1939","13"
"Théâtre","1939","1"
"Poésie","1939","2"
"Poésie","1940","2"
"Littérature","1940","2"
"Roman","1940","6"
"Théâtre","1940","3"
"Chansons françaises","1940","40"
"Littérature française","1941","1"
"Poésie","1941","1"
"Chansons françaises","1941","56"
"Roman","1941","5"
"Roman","1942","3"
"Chansons françaises","1942","60"
"Littérature française","1942","1"
"Théâtre","1942","4"
"Chansons françaises","1943","143"
"Littérature","1943","1"
"Roman","1943","14"
"Poésie","1943","2"
"Théâtre","1943","2"
"Chansons françaises","1944","105"
"Roman","1944","7"
"Théâtre","1944","7"
"Littérature","1944","1"
"Poésie","1945","1"
"Roman","1945","17"
"Chansons françaises","1945","215"
"Théâtre","1945","4"
"Littérature française","1945","2"
"Littérature","1946","3"
"Roman","1946","32"
"Littérature française","1946","2"
"Théâtre","1946","7"
"Chansons françaises","1946","160"
"Littérature française","1947","1"
"Chansons françaises","1947","185"
"Poésie","1947","1"
"Roman","1947","38"
"Littérature","1947","1"
"Théâtre","1947","6"
"Théâtre","1948","5"
"Roman","1948","69"
"Poésie","1948","4"
"Littérature","1948","2"
"Chansons françaises","1948","425"
"Littérature française","1948","2"
